"","2020-01-02","2020-01-03","2020-01-06","2020-01-07","2020-01-08","2020-01-09","2020-01-10","2020-01-13","2020-01-14","2020-01-15"
"0.5 year",0.0207460491963755,0.0207460491963755,0.0209446687903618,0.0209446687903618,0.0211433081111783,0.021540645948981,0.0217393444738075,0.0217393444738075,0.0219380627411479,0.0219380627411479
"1 year",0.0167214866846168,0.0164198672843794,0.0162166388029511,0.0163171480656701,0.016515997051826,0.0166121369351299,0.0170121934184902,0.0169116142765064,0.0170099933551932,0.0168088456288656
"1.5 year",0.0166151531247508,0.0164146317481498,0.016212214532698,0.0164146536187217,0.016479529749441,0.016680114474132,0.0168108948372176,0.0169476188646394,0.0168099269518105,0.0166761996022695
"2 year",0.0162737759132187,0.0164345466206491,0.0162868341694164,0.0164345752513002,0.0162764486393619,0.0157591755959034,0.0152920075362053,0.015799734316723,0.016207397835747,0.0163145565751888
"2.5 year",0.0165879537247699,0.0163443901797939,0.0162286174243373,0.0163444135214732,0.0163845456538761,0.0166357511700743,0.0166380979569715,0.0168730673436177,0.0168233026566303,0.0166608130674276
"3 year",0.0159940802700955,0.0156180221398563,0.0154159561053902,0.0155141626227545,0.0155477012458598,0.0158583431496789,0.0159982150181495,0.0161272554119716,0.0159846338349266,0.015745433162604
"3.5 year",0.01609282418145,0.0157713717163686,0.0155982879006437,0.0157127262104232,0.015681551589879,0.0159166903945055,0.0159458688652197,0.0162071234940352,0.0160559333878415,0.0158514671722024
"4 year",0.0152439863380329,0.0149195743646317,0.0146692476935981,0.0151061120349419,0.0148426146551791,0.0152259917794872,0.0151193171962414,0.0153920461319428,0.0151830701413042,0.0149314361315321
"4.5 year",0.0159749185273227,0.0152216364494259,0.0149334109803385,0.0151735052684793,0.0153190257694745,0.0157007169012377,0.01558360619639,0.0157736357746192,0.0155672928665108,0.0153481373592809
"5 year",0.0156588939511553,0.0152695943798518,0.014958903747989,0.0151623512605936,0.0151628649972486,0.0155367737640692,0.0156457275429223,0.0156552143292705,0.0154451150666251,0.0151758312689507
